sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
1,347,636,392,933,2507,2955,3308,2976,1417,788,6422
2,313,519,266,847,2565,3295,3748,3271,1357,647,6422
3,296,523,261,803,2748,3417,3592,3487,1264,634,6422
4,313,519,266,847,2565,3295,3748,3271,1357,647,6422
5,347,636,392,933,2507,2955,3308,2976,1417,788,6422
6,347,592,309,825,2714,3253,3470,3273,1339,643,6422
7,313,519,266,847,2565,3295,3748,3271,1357,647,6422
8,307,575,357,954,2526,3009,3362,3063,1432,805,6422
9,423,703,500,933,2507,2955,2814,2976,1417,788,6422
10,389,667,424,954,2526,3009,3172,3063,1432,805,6422
11,347,636,392,933,2507,2955,3308,2976,1417,788,6422
12,347,592,309,825,2714,3253,3470,3273,1339,643,6422
13,355,589,370,933,2507,2955,3326,2976,1417,788,6422
14,393,670,413,933,2507,2955,3090,2976,1417,788,6422
15,299,499,289,803,2748,3417,3650,3487,1264,634,6422
16,389,667,424,954,2526,3009,3172,3063,1432,805,6422
17,307,575,357,954,2526,3009,3362,3063,1432,805,6422
18,296,523,261,803,2748,3417,3592,3487,1264,634,6422
19,313,519,266,847,2565,3295,3748,3271,1357,647,6422
20,393,670,413,933,2507,2955,3090,2976,1417,788,6422
21,355,589,370,933,2507,2955,3326,2976,1417,788,6422
22,373,564,353,899,2635,3291,3528,3313,1448,752,6422
23,373,564,353,899,2635,3291,3528,3313,1448,752,6422
24,494,786,584,954,2526,3009,3000,3063,1432,805,6422
25,309,540,268,847,2565,3295,3814,3271,1357,647,6422
26,296,523,261,803,2748,3417,3592,3487,1264,634,6422
27,389,667,424,954,2526,3009,3172,3063,1432,805,6422
28,373,564,353,899,2635,3291,3528,3313,1448,752,6422
29,307,575,357,954,2526,3009,3362,3063,1432,805,6422
30,347,636,392,933,2507,2955,3308,2976,1417,788,6422
31,347,636,392,933,2507,2955,3308,2976,1417,788,6422
32,299,499,289,803,2748,3417,3650,3487,1264,634,6422
33,299,499,289,803,2748,3417,3650,3487,1264,634,6422
34,347,636,392,933,2507,2955,3308,2976,1417,788,6422
35,296,523,261,803,2748,3417,3592,3487,1264,634,6422
36,349,579,375,825,2714,3253,3496,3273,1339,643,6422
37,357,586,317,899,2635,3291,3516,3313,1448,752,6422
38,307,575,357,954,2526,3009,3362,3063,1432,805,6422
39,361,597,330,825,2714,3253,3454,3273,1339,643,6422
40,313,519,266,847,2565,3295,3748,3271,1357,647,6422
41,389,667,424,954,2526,3009,3172,3063,1432,805,6422
42,494,786,584,954,2526,3009,3000,3063,1432,805,6422
43,373,564,353,899,2635,3291,3528,3313,1448,752,6422
44,347,636,392,933,2507,2955,3308,2976,1417,788,6422
45,357,586,317,899,2635,3291,3516,3313,1448,752,6422
46,313,519,266,847,2565,3295,3748,3271,1357,647,6422
47,357,586,317,899,2635,3291,3516,3313,1448,752,6422
48,313,519,266,847,2565,3295,3748,3271,1357,647,6422
49,373,564,353,899,2635,3291,3528,3313,1448,752,6422
50,299,499,289,803,2748,3417,3650,3487,1264,634,6422
51,361,597,330,825,2714,3253,3454,3273,1339,643,6422
52,273,507,287,803,2748,3417,3682,3487,1264,634,6422
53,355,589,370,933,2507,2955,3326,2976,1417,788,6422
54,307,575,357,954,2526,3009,3362,3063,1432,805,6422
55,299,499,289,803,2748,3417,3650,3487,1264,634,6422
56,307,575,357,954,2526,3009,3362,3063,1432,805,6422
57,299,499,289,803,2748,3417,3650,3487,1264,634,6422
