sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
1,423,703,500,933,2507,2955,2814,2976,1417,788,6422
2,355,589,370,933,2507,2955,3326,2976,1417,788,6422
3,389,667,424,954,2526,3009,3172,3063,1432,805,6422
4,355,589,370,933,2507,2955,3326,2976,1417,788,6422
5,349,579,375,825,2714,3253,3496,3273,1339,643,6422
6,393,670,413,933,2507,2955,3090,2976,1417,788,6422
7,361,597,330,825,2714,3253,3454,3273,1339,643,6422
8,316,515,262,803,2748,3417,3706,3487,1264,634,6422
9,349,579,375,825,2714,3253,3496,3273,1339,643,6422
10,313,519,266,847,2565,3295,3748,3271,1357,647,6422
11,316,545,318,825,2714,3253,3516,3273,1339,643,6422
12,313,519,266,847,2565,3295,3748,3271,1357,647,6422
13,373,564,353,899,2635,3291,3528,3313,1448,752,6422
14,389,667,424,954,2526,3009,3172,3063,1432,805,6422
15,307,575,357,954,2526,3009,3362,3063,1432,805,6422
16,307,575,357,954,2526,3009,3362,3063,1432,805,6422
17,360,528,339,847,2565,3295,3426,3271,1357,647,6422
18,347,592,309,825,2714,3253,3470,3273,1339,643,6422
19,309,540,268,847,2565,3295,3814,3271,1357,647,6422
20,316,515,262,803,2748,3417,3706,3487,1264,634,6422
21,357,586,317,899,2635,3291,3516,3313,1448,752,6422
22,389,667,424,954,2526,3009,3172,3063,1432,805,6422
23,313,519,266,847,2565,3295,3748,3271,1357,647,6422
24,316,545,318,825,2714,3253,3516,3273,1339,643,6422
25,360,528,339,847,2565,3295,3426,3271,1357,647,6422
26,307,575,357,954,2526,3009,3362,3063,1432,805,6422
27,299,499,289,803,2748,3417,3650,3487,1264,634,6422
28,307,575,357,954,2526,3009,3362,3063,1432,805,6422
29,494,786,584,954,2526,3009,3000,3063,1432,805,6422
30,319,549,305,847,2565,3295,3310,3271,1357,647,6422
31,313,519,266,847,2565,3295,3748,3271,1357,647,6422
32,316,545,318,825,2714,3253,3516,3273,1339,643,6422
33,357,586,317,899,2635,3291,3516,3313,1448,752,6422
34,299,499,289,803,2748,3417,3650,3487,1264,634,6422
35,349,579,375,825,2714,3253,3496,3273,1339,643,6422
36,389,667,424,954,2526,3009,3172,3063,1432,805,6422
37,389,667,424,954,2526,3009,3172,3063,1432,805,6422
38,349,579,375,825,2714,3253,3496,3273,1339,643,6422
39,373,564,353,899,2635,3291,3528,3313,1448,752,6422
40,393,670,413,933,2507,2955,3090,2976,1417,788,6422
41,423,703,500,933,2507,2955,2814,2976,1417,788,6422
42,347,592,309,825,2714,3253,3470,3273,1339,643,6422
43,309,540,268,847,2565,3295,3814,3271,1357,647,6422
44,357,586,317,899,2635,3291,3516,3313,1448,752,6422
45,349,579,375,825,2714,3253,3496,3273,1339,643,6422
46,373,564,353,899,2635,3291,3528,3313,1448,752,6422
47,299,499,289,803,2748,3417,3650,3487,1264,634,6422
48,273,507,287,803,2748,3417,3682,3487,1264,634,6422
49,393,670,413,933,2507,2955,3090,2976,1417,788,6422
50,309,540,268,847,2565,3295,3814,3271,1357,647,6422
51,357,556,378,899,2635,3291,3422,3313,1448,752,6422
52,309,540,268,847,2565,3295,3814,3271,1357,647,6422
53,299,499,289,803,2748,3417,3650,3487,1264,634,6422
54,349,579,375,825,2714,3253,3496,3273,1339,643,6422
55,347,592,309,825,2714,3253,3470,3273,1339,643,6422
56,313,519,266,847,2565,3295,3748,3271,1357,647,6422
57,299,499,289,803,2748,3417,3650,3487,1264,634,6422
58,299,499,289,803,2748,3417,3650,3487,1264,634,6422
59,349,579,375,825,2714,3253,3496,3273,1339,643,6422
60,357,586,317,899,2635,3291,3516,3313,1448,752,6422
61,313,519,266,847,2565,3295,3748,3271,1357,647,6422
62,361,597,330,825,2714,3253,3454,3273,1339,643,6422
63,316,545,318,825,2714,3253,3516,3273,1339,643,6422
64,367,530,396,899,2635,3291,3378,3313,1448,752,6422
65,389,667,424,954,2526,3009,3172,3063,1432,805,6422
66,355,589,370,933,2507,2955,3326,2976,1417,788,6422
67,355,589,370,933,2507,2955,3326,2976,1417,788,6422
68,296,523,261,803,2748,3417,3592,3487,1264,634,6422
69,299,499,289,803,2748,3417,3650,3487,1264,634,6422
70,347,592,309,825,2714,3253,3470,3273,1339,643,6422
71,357,586,317,899,2635,3291,3516,3313,1448,752,6422
72,423,703,500,933,2507,2955,2814,2976,1417,788,6422
73,355,589,370,933,2507,2955,3326,2976,1417,788,6422
74,357,586,317,899,2635,3291,3516,3313,1448,752,6422
75,299,499,289,803,2748,3417,3650,3487,1264,634,6422
76,373,564,353,899,2635,3291,3528,3313,1448,752,6422
77,357,556,378,899,2635,3291,3422,3313,1448,752,6422
78,355,589,370,933,2507,2955,3326,2976,1417,788,6422
79,349,579,375,825,2714,3253,3496,3273,1339,643,6422
80,423,703,500,933,2507,2955,2814,2976,1417,788,6422
81,361,597,330,825,2714,3253,3454,3273,1339,643,6422
82,316,515,262,803,2748,3417,3706,3487,1264,634,6422
83,361,597,330,825,2714,3253,3454,3273,1339,643,6422
84,355,589,370,933,2507,2955,3326,2976,1417,788,6422
85,307,575,357,954,2526,3009,3362,3063,1432,805,6422
86,349,579,375,825,2714,3253,3496,3273,1339,643,6422
87,299,499,289,803,2748,3417,3650,3487,1264,634,6422
88,313,519,266,847,2565,3295,3748,3271,1357,647,6422
89,296,523,261,803,2748,3417,3592,3487,1264,634,6422
90,393,670,413,933,2507,2955,3090,2976,1417,788,6422
91,316,545,318,825,2714,3253,3516,3273,1339,643,6422
92,313,519,266,847,2565,3295,3748,3271,1357,647,6422
93,347,592,309,825,2714,3253,3470,3273,1339,643,6422
94,360,528,339,847,2565,3295,3426,3271,1357,647,6422
95,360,528,339,847,2565,3295,3426,3271,1357,647,6422
96,299,499,289,803,2748,3417,3650,3487,1264,634,6422
97,361,597,330,825,2714,3253,3454,3273,1339,643,6422
98,307,575,357,954,2526,3009,3362,3063,1432,805,6422
99,309,540,268,847,2565,3295,3814,3271,1357,647,6422
100,349,579,375,825,2714,3253,3496,3273,1339,643,6422
101,360,528,339,847,2565,3295,3426,3271,1357,647,6422
102,373,564,353,899,2635,3291,3528,3313,1448,752,6422
103,347,636,392,933,2507,2955,3308,2976,1417,788,6422
104,357,586,317,899,2635,3291,3516,3313,1448,752,6422
105,357,586,317,899,2635,3291,3516,3313,1448,752,6422
106,423,703,500,933,2507,2955,2814,2976,1417,788,6422
107,393,670,413,933,2507,2955,3090,2976,1417,788,6422
108,349,579,375,825,2714,3253,3496,3273,1339,643,6422
109,373,564,353,899,2635,3291,3528,3313,1448,752,6422
110,361,597,330,825,2714,3253,3454,3273,1339,643,6422
111,357,556,378,899,2635,3291,3422,3313,1448,752,6422
